YOR224C	YJL140W
YPL228W	YHR130C
YBR087W	YDR087C
YOR210W	YOR340C
YDR124W	YOR158W
YOR249C	YGL106W
YDL168W	YBR142W
YNL273W	YPR037C
YKL129C	YGL242C
YJL115W	YJR033C
YPR161C	YLR276C
YAL027W	YGR086C
YAL043C	YBL076C
YPR161C	YBL003C
YLL022C	YGR130C
YLR432W	YHR216W
YDL100C	YER162C
YLR002C	YOL077C
YKL126W	YMR035W
YLR197W	YDL132W
YDR037W	YDL234C
YPR107C	YLL033W
YGR124W	YKL079W
YNL250W	YBR065C
YPR108W	YNL299W
YDR167W	YPL011C
YLR452C	YML085C
YBR198C	YPL011C
YHR118C	YLR118C
YDR171W	YOL164W
YJL065C	YNL230C
YER133W	YDR028C
YDL056W	YER133W
YCR060W	YKR092C
YKL088W	YPL230W
YKR011C	YDR388W
YLL027W	YPL216W
YDL182W	YDR420W
YKL191W	YOR048C
YDR054C	YLR336C
YPL001W	YDR099W
YIL137C	YLR150W
YDR001C	YMR186W
YJL098W	YDL047W
YPL240C	YOR033C
YJL069C	YLR409C
YJR017C	YIL021W
YGL106W	YDR087C
YER116C	YBL003C
YER131W	YMR290C
YDR211W	YOR355W
YLR203C	YDL029W
YPL009C	YKR081C
YMR263W	YNL097C
YMR135C	YIL017C
YER095W	YDR174W
YIL043C	YBL003C
YDL055C	YKR048C
YMR140W	YKR081C
YLR147C	YML049C
YBR057C	YLL040C
YPL001W	YIR037W
YGR091W	YOR308C
YKL126W	YGL106W
YDL141W	YDR087C
YAR007C	YPL004C
YFR015C	YOL011W
YPL001W	YLR185W
YPL239W	YBR102C
YLR035C	YMR167W
YDR385W	YDR496C
YGR043C	YNL222W
YDR295C	YPR179C
YAL027W	YOR294W
YHL004W	YGL129C
YDR169C	YMR186W
YKL114C	YDR381W
YPR046W	YDL014W
YIL148W	YMR186W
YNL220W	YER070W
YNR034W	YER133W
YOL068C	YIL112W
YLR385C	YLR399C
YDR110W	YDR381W
YPR164W	YLR355C
YER155C	YLR380W
YPR093C	YKL007W
YMR186W	YLR347C
YPL178W	YGR162W
YDL100C	YER083C
YER021W	YOR117W
YPR112C	YPR004C
YCR043C	YBR009C
YAL027W	YER049W
YBR058C	YLR320W
YGR119C	YGL172W
YKL018W	YML085C
YMR139W	YKR048C
YKL160W	YBR169C
YLR386W	YNL021W
YOL068C	YBR010W
YGR261C	YPL195W
YPL181W	YBR223C
YPR103W	YOL038W
YLR319C	YOL016C
YIL148W	YBR059C
YKR079C	YAL051W
YER050C	YKL155C
YGR245C	YAL018C
YKR018C	YGR115C
YCR009C	YGL013C
YJR084W	YLR150W
YPR161C	YBR072W
YGR275W	YBR009C
YOR310C	YBR189W
YPR074C	YKL221W
YLR287C	YML029W
YOR127W	YPL009C
YFR034C	YBR010W
YCL032W	YDR381C-A
YDR195W	YGR156W
YOR191W	YMR101C
YPR007C	YHR121W
YOL013C	YLR060W
YGR209C	YIL107C
YOR261C	YDL030W
YDL145C	YPR143W
YGL097W	YLR293C
YLR258W	YIL143C
YLR225C	YCR009C
YDR283C	YNR051C
YNL313C	YHR193C
YDR054C	YLR353W
YDR071C	YPR052C
YER086W	YDR388W
YDL168W	YDL014W
YBL016W	YBR072W
YKR072C	YBR073W
YDR416W	YLR117C
YPL129W	YDR190C
YPR161C	YNL312W
YOL057W	YGL106W
YOL010W	YPR112C
YKL028W	YAL053W
YGR245C	YDL143W
YBR169C	YGR171C
YGL175C	YCR009C
YAL019W	YOR061W
YHL034C	YDL014W
YIL063C	YKL054C
YDR101C	YOR080W
YMR140W	YNL112W
YPR046W	YGR006W
YBR010W	YGL207W
YDL148C	YIL148W
YLR015W	YHR186C
YKL212W	YJL052W
YLR380W	YDL130W
YER070W	YBR027C
YIL148W	YGL055W
YNL186W	YOL077C
YMR128W	YMR290C
YHR124W	YGR048W
YGL120C	YOL115W
YNL262W	YDR195W
YBR211C	YPL018W
YDL095W	YJL041W
YOL013C	YOR027W
YHR052W	YDL014W
YJL159W	YFL037W
YNL220W	YOR187W
YAL019W	YIL035C
YNL250W	YDR369C
YDL134C	YER032W
YLL010C	YLR019W
YLR429W	YPL146C
YPL110C	YEL026W
YDR054C	YGL201C
YEL037C	YNL055C
YLR330W	YOR002W
YDL147W	YAL019W
YIR012W	YDL073W
YER112W	YOR159C
YDL112W	YLR175W
YHR052W	YOL041C
YGR086C	YOL045W
YNL088W	YGR162W
YPL211W	YBL106C
YOL117W	YDL216C
YCR002C	YDL225W
YML056C	YOL045W
YLR320W	YDR174W
YLR442C	YDR174W
YLR455W	YNL088W
YDR172W	YCL035C
YJR043C	YEL026W
YGR124W	YEL031W
YJL047C	YLR259C
YPR101W	YER029C
YDR346C	YPR052C
YFR004W	YOR117W
YMR128W	YGL120C
YJR097W	YPL004C
YGL043W	YML069W
YKL081W	YJL059W
YBR279W	YPL150W
YLR022C	YAR010C
YIL021W	YGR186W
YKL117W	YBL106C
YDR060W	YOR355W
YKL117W	YJL098W
YHL004W	YER025W
YDL085C-A	YER172C
YCR079W	YLL022C
YDL092W	YDL051W
YBR058C	YER098W
YLR304C	YBR046C
YLR298C	YOR159C
YKR008W	YLR357W
YLR006C	YCL057W
YER022W	YOR174W
YNL244C	YLR429W
YPR140W	YAL024C
YDL074C	YMR314W
YPL004C	YDL185W
YOL098C	YPL146C
YDL095W	YCR009C
YNL250W	YLL018C
YIL148W	YGR162W
YLR127C	YHR166C
YNL313C	YPL037C
YML131W	YDR174W
YPR164W	YAR010C
YJL157C	YGR240C
YER177W	YDR028C
YKL104C	YDR381W
YLR027C	YJR009C
YLR115W	YGR156W
YHR090C	YDL148C
YMR086W	YPL004C
YBR079C	YMR186W
YMR049C	YOR272W
YLR090W	YPR036W
YNR052C	YGR086C
YER091C	YER040W
YHL034C	YAL036C
YAL059W	YMR124W
YJL033W	YDR060W
YJL033W	YIL035C
YNL186W	YNL248C
YHL034C	YLR196W
YDR054C	YKR063C
YJR119C	YAL019W
YDL168W	YNL061W
YHR066W	YDR496C
YBR279W	YNR001W-A
YDR440W	YPL004C
YDL134C	YAL029C
YBR009C	YGL207W
YLR132C	YLR249W
YDR283C	YLR150W
YJL095W	YDR326C
YCR066W	YGL058W
YKL022C	YHR166C
YPL001W	YNL262W
YLR225C	YBR127C
YER172C	YPR178W
YER035W	YNL248C
YNL261W	YBL002W
YGR090W	YGL014W
YMR219W	YBL105C
YPR175W	YDL053C
YBR169C	YDR171W
YMR180C	YFR024C
YLR175W	YGR222W
YKL126W	YIL105C
YDL147W	YER083C
YDR288W	YLR314C
YEL054C	YIL069C
YDL095W	YBR009C
YOL025W	YDR457W
YHR012W	YJL154C
YAR015W	YPL240C
YNL304W	YIL094C
YOR057W	YDR087C
YGR103W	YIL035C
YDL105W	YOL034W
YML100W	YJR129C
YMR110C	YDR087C
YGL108C	YBR049C
YGR090W	YMR229C
YNL088W	YMR229C
YHR200W	YOR328W
YDL044C	YLR139C
YJL033W	YLR314C
YDR427W	YDL053C
YPR161C	YGR167W
YPR045C	YKL172W
YPL004C	YGL116W
YDR254W	YOL054W
YDR490C	YPL004C
YLR244C	YBL004W
YIL126W	YCL069W
YLR335W	YLR347C
YGR240C	YBR109C
YDR001C	YBR001C
YDR363W-A	YGR232W
YPR029C	YLR197W
YDR101C	YGL078C
YFL013C	YLL026W
YDR364C	YMR125W
YDL147W	YHR078W
YDL201W	YDR381W
YDR172W	YHR164C
YFR004W	YOR261C
YDL168W	YMR229C
YML091C	YHR054C
YDR496C	YNL061W
YKR026C	YHR047C
YLR231C	YGR014W
YFR051C	YGL137W
YML058W	YBR140C
YNL209W	YPL140C
YFR037C	YGR056W
YBL071W-A	YDR174W
YBL052C	YFR037C
YLR132C	YIL149C
YJR052W	YBL003C
YNL251C	YLR175W
YGL234W	YEL069C
YOR141C	YAL031C
YLR384C	YMR312W
YJL047C	YPL216W
YGL106W	YBR109C
YDR363W	YBR169C
YDR071C	YDL053C
YOR144C	YKR035W-A
YCL017C	YKR064W
YJR096W	YDR175C
YJL081C	YLR399C
YOL126C	YDL215C
YBR279W	YOR123C
YGL227W	YDR255C
YMR229C	YBR009C
YPL004C	YNL251C
YDL182W	YJL164C
YPL151C	YMR213W
YLR320W	YBL075C
YJL050W	YNL299W
YDR502C	YLR418C
YDR365C	YDR466W
YPR161C	YJL131C
YIL156W	YLR014C
YBR135W	YNL209W
YAL043C	YAL046C
YCR060W	YIL095W
YPR137W	YLR249W
YGR104C	YDL223C
YLR347C	YNL330C
YGL173C	YLR175W
YGR128C	YDR270W
YJL047C	YDR155C
YHR196W	YPL126W
YNL186W	YLR150W
YNL134C	YCR102C
YPL001W	YGL245W
YPL259C	YPR029C
YLL004W	YBL037W
YML011C	YER162C
YGL106W	YBR169C
YER146W	YGR091W
YOL010W	YPR095C
YOL038W	YOR362C
YBR198C	YGR252W
YJL168C	YOR310C
YBL024W	YDR381W
YJL033W	YOR206W
YDR283C	YGR167W
YFR031C	YDR158W
YGR135W	YLR039C
YOR224C	YPL225W
YBL074C	YLR347C
YJL098W	YFL045C
YJL050W	YKR081C
YDR054C	YER053C
YJL069C	YLR222C
YKL018W	YHR216W
YDR165W	YER006W
YLR203C	YBL082C
YBL003C	YIL173W
YPL004C	YFR004W
YMR304W	YJR066W
YGL070C	YJL080C
YLR304C	YDR087C
YOL013C	YCL030C
YNL155W	YBL058W
YNL313C	YPR031W
YLR200W	YJL005W
YDL053C	YNL215W
YIL148W	YMR116C
YLR179C	YKL142W
YFL018W-A	YOR308C
YCL040W	YLR249W
YJL154C	YPL070W
YNL250W	YBR196C
YDR507C	YLR197W
YGR056W	YPR034W
YPL004C	YDR427W
YJR012C	YDR142C
YNL293W	YEL017W
YER091C	YMR104C
YER131W	YDL014W
YJR089W	YBR156C
YDL147W	YKL145W
YDR224C	YDR174W
YLR249W	YFR013W
YKL124W	YJL052W
YDR233C	YPL154C
YER116C	YDR388W
YDR416W	YAL032C
YGL229C	YLL022C
YIR022W	YDR507C
YDR101C	YBR104W
YGL046W	YGL014W
YOR257W	YDR159W
YDL116W	YGL092W
YLR132C	YJR007W
YJL080C	YPL048W
YHR052W	YOR294W
YOR242C	YBL084C
YPR034W	YNL085W
YDL095W	YER120W
YPL207W	YDR174W
YER063W	YDL014W
YPR161C	YKR098C
YDR362C	YJL052W
YGR063C	YPL090C
YDL143W	YGL121C
YIL148W	YNR016C
YAR002W	YLR335W
YKL216W	YBL047C
YJL115W	YBL003C
YOL012C	YKR092C
YGL207W	YKL054C
YKL035W	YLR231C
YLR115W	YJR093C
YEL037C	YIL075C
YMR219W	YBL075C
YLR072W	YOR141C
YNL088W	YJL052W
YIL126W	YML127W
YNR014W	YBL075C
YPL001W	YBL002W
YFL024C	YNL107W
YMR258C	YBR155W
YOR123C	YOR355W
YHR090C	YHR121W
YDL182W	YBR140C
YPL047W	YDR448W
YLR199C	YDR255C
YHR073W	YOR294W
YGR090W	YGR252W
YFR052W	YAL019W
YGR071C	YDR017C
YDR416W	YBR188C
YIL075C	YAL001C
YDR502C	YNL087W
YJL173C	YGL207W
YIR007W	YDR385W
YKL212W	YLR150W
YEL012W	YDR255C
YGR135W	YEL061C
YBR079C	YDR429C
YGR124W	YLR196W
YML092C	YHL009C
YBR079C	YMR089C
YGL106W	YPL004C
YGL105W	YNL021W
YNL162W	YPR144C
YLR258W	YIL075C
YLR179C	YPL004C
YGL227W	YOL135C
YGR198W	YJR121W
YJL033W	YBL003C
YPR046W	YJR135C
YAL007C	YJL034W
YIR007W	YOR133W
YOR124C	YGL014W
YJL092W	YDR171W
YDR425W	YJL036W
YPR161C	YCR009C
YHR200W	YPR160W
YKL129C	YER109C
YLR435W	YOR334W
YER131W	YHR121W
YJR032W	YHR099W
YHL024W	YLR429W
YBL003C	YDL014W
YOL059W	YGL245W
YNL255C	YLR196W
YCR066W	YMR205C
YMR188C	YGR215W
YKL129C	YNL232W
YLR262C	YDR388W
YLR015W	YDL063C
YER078C	YGR126W
YJL084C	YBL037W
YEL056W	YER006W
YPL001W	YPL037C
YDR049W	YOL139C
YPL209C	YKL210W
YGL127C	YGL151W
YDL168W	YMR290C
YLR362W	YKL213C
YMR276W	YPR002W
YNL262W	YGR087C
YGR086C	YDL070W
YNL088W	YBR088C
YGL020C	YDR365C
YMR214W	YEL030W
YER035W	YHL034C
YIL148W	YNL248C
YNL088W	YDR381W
YKL114C	YPL127C
YJL081C	YOR281C
YDR054C	YDR176W
YKR024C	YDR312W
YDR363W-A	YCR093W
YOR058C	YPL146C
YBR084W	YBR049C
YIL035C	YOR043W
YGR086C	YLR079W
YER012W	YLL032C
YOL109W	YDR388W
YMR049C	YGL207W
YMR282C	YLR197W
YCR009C	YPL004C
YOR057W	YJR009C
YCR008W	YMR229C
YDR427W	YOR261C
YBR055C	YKL173W
YGR075C	YMR004W
YCL031C	YOR294W
YGL070C	YGR186W
YIL031W	YGR285C
YLR127C	YNL172W
YJL092W	YDR129C
YPR162C	YPL127C
YPL004C	YOR117W
YLR022C	YNL290W
YMR108W	YDL215C
YLR298C	YLR347C
YMR223W	YLR055C
YER025W	YIL035C
YDR099W	YGR191W
YPR190C	YOR355W
YMR186W	YDR155C
YOR086C	YLR249W
YER133W	YHR121W
YER177W	YMR086W
YNL134C	YPL009C
YLL002W	YDR074W
YNL186W	YMR108W
YLR347C	YMR290C
YIL148W	YBR196C
YKL173W	YOR308C
YDR001C	YER136W
YCL032W	YBR185C
YDL147W	YLR421C
YPL225W	YPL226W
YER086W	YDR054C
YBR195C	YDR388W
YPR131C	YOL076W
YDL097C	YPR108W
YBR253W	YHR058C
YJL138C	YPR010C
YBR055C	YPR178W
YIL097W	YBR105C
YBR072W	YMR083W
YGR188C	YDR388W
YHL004W	YPR080W
YGL049C	YOL139C
YJR104C	YPL201C
YPL178W	YNL189W
YGL048C	YPL147W
YJL168C	YOL054W
YER022W	YHR041C
YDR405W	YML056C
YKR048C	YNL288W
YAL027W	YPL004C
YHL014C	YKR059W
YKL160W	YKR048C
YIL144W	YOL069W
YDR502C	YBR235W
YNL099C	YNL032W
YPR161C	YOL144W
YDR172W	YBR143C
YNL250W	YEL030W
YPR161C	YGR271C-A
YOR362C	YLR256W
YPR161C	YER146W
YDR153C	YKL023W
YJR135C	YDR383C
YGR245C	YDL160C
YPL009C	YML056C
YNL317W	YKR002W
YFL013C	YLR249W
YER086W	YMR297W
YLR146C	YPR069C
YBR101C	YBL075C
YFR004W	YHR027C
YKL191W	YDR293C
YNL186W	YGL037C
YML032C	YHR121W
YGL207W	YLR418C
YOL059W	YBR109C
YGL207W	YOR101W
YCL032W	YGL157W
YER172C	YJR032W
YOR083W	YER111C
YFL014W	YNL312W
YNL041C	YKL081W
YDR427W	YDL007W
YIL076W	YEL002C
YDR005C	YKR025W
YDR266C	YLR175W
YDR341C	YLR314C
YKL124W	YOR326W
YDR027C	YJR066W
YKR084C	YAL026C
YPR051W	YEL053C
YHR118C	YNL002C
YBR154C	YPR187W
YAL027W	YDR507C
YDR172W	YGR274C
YDR510W	YFR011C
YHL034C	YLR175W
YDR152W	YJL112W
YDR240C	YGR074W
YPL009C	YOL041C
YPR045C	YDR363W-A
YHL008C	YDR388W
YDR254W	YBR211C
YCL011C	YKR081C
YHL004W	YLR432W
YNL250W	YDR174W
YHL034C	YDR381W
YDL097C	YGL048C
YOR303W	YDL215C
YOR303W	YMR029C
YDR477W	YER027C
YDR288W	YOR361C
YOL013C	YOR133W
YKL028W	YKL192C
YDR251W	YDL130W
YDR409W	YLL029W
YPL001W	YKL054C
YJR041C	YDR381W
YHR124W	YIL156W
YMR186W	YLR192C
YDL147W	YNL288W
YFR052W	YHR027C
YPR105C	YBL105C
YPR162C	YBL003C
YMR186W	YDL215C
YER151C	YKL149C
YML131W	YEL056W
YLR455W	YDR174W
YCR008W	YLR429W
YNL317W	YPL127C
YMR261C	YNL209W
YHR200W	YER021W
YFR010W	YCR009C
YGR003W	YOR326W
YLR002C	YDR300C
YDL182W	YNL018C
YJL197W	YCR058C
YDR502C	YLR180W
YDR363W	YBL026W
YIL148W	YIR006C
YGR135W	YER094C
YOL038W	YDR150W
YJL138C	YBL003C
YDL095W	YDR174W
YMR259C	YCL028W
YDR293C	YIL152W
YPR161C	YER125W
YGL048C	YFR052W
YPR171W	YMR079W
YDR172W	YPR067W
YDR363W-A	YFR010W
YIR002C	YKL117W
YHR196W	YMR093W
YDR099W	YFL025C
YLR381W	YDR527W
YKL142W	YNR051C
YMR186W	YMR053C
YPR173C	YLR249W
YGR188C	YOR326W
YLL027W	YDR381W
YOR157C	YHR033W
YPL239W	YKL143W
YPR161C	YJL173C
YIL035C	YMR302C
YPL213W	YMR157C
YBR119W	YDR122W
YPR061C	YIL094C
YDR234W	YNL079C
YNL099C	YNL056W
YMR259C	YBR073W
YDL042C	YPR110C
YLR362W	YDR087C
YGR104C	YBR239C
YPR116W	YDR065W
YCL040W	YPL061W
YDR049W	YDL126C
YDR510W	YJL052W
YGL227W	YDL176W
YDL182W	YAL031C
YDR443C	YPL042C
YBR103W	YEL026W
YKL122C	YPL243W
YPR108W	YJR051W
YGL048C	YPR133C
YBL003C	YCR028C-A
YNL162W	YBR156C
YPL090C	YCR052W
YPR060C	YLR207W
YER177W	YER016W
YLR144C	YDR388W
YNL004W	YPL127C
YGL011C	YJL088W
YBL032W	YLR180W
YIL137C	YCR087C-A
YJL148W	YOR341W
YJL098W	YGL173C
YJL023C	YPL228W
YDL134C	YLR106C
YLR432W	YHR168W
YOR181W	YER162C
YER133W	YNL233W
YIL071C	YMR025W
YOL038W	YER094C
YDR385W	YDL140C
YJL047C	YGR209C
YBL045C	YPR191W
YCL014W	YJL052W
YOR174W	YDR166C
YJR156C	YGR086C
YNL262W	YMR083W
YER023W	YLR347C
YLR304C	YAL029C
YKL160W	YDR365C
YBL003C	YNL201C
YDL055C	YLR035C
YNL250W	YIL148W
YMR049C	YOL095C
YJL102W	YLL022C
YIR010W	YIL144W
YDR054C	YOR279C
YDR510W	YOR181W
YER007W	YDR381W
YKL005C	YBR275C
YDR044W	YBR009C
YOR361C	YDR096W
YGR063C	YML059C
YOR052C	YGL207W
YPL090C	YLR347C
YJR032W	YCL011C
YOL013C	YDR129C
YIL148W	YMR308C
YJL072C	YPR135W
YBL058W	YDR388W
YBR135W	YLR109W
YKL126W	YLR259C
YMR304W	YBL048W
YGR086C	YGR267C
YER070W	YBR079C
YHL029C	YDL126C
YOR290C	YOR355W
YDL043C	YGR074W
YIL148W	YDR177W
YDR139C	YDL093W
YKL191W	YMR230W
YNL122C	YER110C
YIL035C	YDL199C
YDL055C	YIL151C
YGR250C	YPL210C
YGL151W	YDR308C
YJL047C	YDR174W
YGL048C	YGL141W
YNL273W	YJR009C
YGL234W	YNL216W
YDL182W	YCR035C
YGL070C	YNR068C
YPL138C	YHR029C
YOR061W	YMR309C
YGR104C	YGL025C
YDL182W	YDL131W
YER050C	YHR121W
YKL126W	YLR429W
YML056C	YDR334W
YMR005W	YML015C
YBR065C	YMR186W
YHL025W	YJL176C
YMR273C	YKL142W
YPR108W	YOR117W
YMR037C	YIL036W
YFR015C	YGR013W
YNL138W	YPL120W
YLL022C	YDR491C
YJR036C	YNL307C
YAL021C	YBR010W
YMR275C	YPL146C
YDR091C	YDL130W
YGL087C	YDR388W
YOL021C	YPR187W
YOR157C	YDR011W
YOR159C	YPR182W
YLL001W	YOR014W
YJL050W	YGL120C
YAR007C	YDR477W
YNL071W	YBR221C
YBL039C	YGL022W
YDL058W	YCR016W
YDL043C	YJL203W
YLR218C	YLR429W
YGR250C	YDL148C
YMR140W	YHR121W
YOR159C	YDR240C
YGR086C	YDR485C
YOL148C	YGL066W
YPL040C	YBR109C
YJL115W	YAR007C
YMR276W	YIL148W
YJR014W	YOR028C
YGR188C	YMR304W
YIL033C	YFR009W
YLL022C	YLR429W
YGR030C	YHR062C
YJR093C	YER133W
YCR053W	YNL048W
YBR058C	YPL183C
YLR222C	YJL147C
YGL234W	YLR347C
YKR092C	YGL120C
YER073W	YML105C
YDR457W	YEL026W
YHR124W	YPR117W
YGL232W	YLR347C
YLR298C	YML046W
YER025W	YIL126W
YGR097W	YNL209W
YBR229C	YDR388W
YCR086W	YDR439W
YJR092W	YIL152W
YLR258W	YML001W
YGR275W	YBL002W
YLR355C	YGL201C
YKL018W	YLR347C
YDR363W-A	YDR108W
YKL124W	YBR079C
YDL036C	YDL147W
YDL019C	YBR079C
YGL112C	YMR005W
YDR172W	YOR336W
YLR385C	YOL052C
YMR304W	YGR097W
YPR074C	YER081W
YBR173C	YGL011C
YLR262C	YMR186W
YGL227W	YDR381W
YFL013C	YDR381W
YDR101C	YKL057C
YPL047W	YER006W
YPL001W	YDR381W
YER025W	YBL054W
YMR108W	YAR062W
YNL045W	YMR237W
YIL148W	YNL084C
YOR089C	YER136W
YLR435W	YBL007C
YDR091C	YNL260C
YBR154C	YGR005C
YBR279W	YDR093W
YFR052W	YKL145W
YDR385W	YGL134W
YAL007C	YLR342W
YFR052W	YMR089C
YKR081C	YNL209W
YGL173C	YPL147W
YPR103W	YER094C
YEL011W	YLR187W
YDR440W	YDR381W
YBR149W	YPR075C
YAL019W	YKR071C
YLR320W	YAR073W
YFL024C	YIR001C
YLR022C	YOR294W
YKL117W	YGR136W
YPL001W	YJL187C
YDR054C	YLR005W
YLR418C	YDR381W
YNL220W	YOR112W
YHR170W	YKL145W
YBR245C	YPR052C
YNL247W	YDR545W
YJR094W-A	YKR048C
YBR079C	YMR146C
YDR172W	YDR406W
YDR293C	YLR347C
YBR218C	YBR169C
YOL038W	YJR109C
YDL134C	YML109W
YGR262C	YML036W
YGR063C	YDL140C
YLR231C	YAR015W
YOR057W	YPL191C
YGL155W	YKL019W
YLR090W	YHR039C-B
YFL007W	YDL053C
YPL004C	YHR200W
YLR319C	YOR326W
YOR361C	YLR192C
YBL017C	YMR125W
YDL147W	YPR108W
YFL006W	YFL007W
YMR135C	YDR255C
YCR071C	YNL284C
YGR091W	YPR182W
YCR060W	YJR009C
YLR298C	YMR125W
YPL183C	YIL006W
YIL148W	YGL233W
YDR054C	YBL088C
YLR387C	YIL035C
YGR086C	YNL107W
YNL168C	YLR244C
YGL067W	YDR381W
YOR057W	YDL215C
YLR354C	YDR391C
YPR135W	YLR223C
YDR234W	YKR048C
YAR007C	YGR086C
YDL095W	YFR053C
YML057W	YLR398C
YDL147W	YAL042W
YDL040C	YCL059C
YGR245C	YKR048C
YOR360C	YML056C
YKL010C	YDR041W
YOR347C	YJR045C
YGR180C	YNL189W
YGL048C	YOR117W
YCR043C	YMR072W
YGR086C	YNL251C
YIL076W	YPL010W
YMR304W	YIL166C
YNL274C	YBR072W
YBR081C	YBR198C
YLR455W	YDR381W
YBR010W	YCL016C
YDR533C	YDR019C
YAR007C	YMR089C
YDR001C	YDL014W
YIL148W	YKL126W
YOR368W	YEL023C
YEL056W	YML028W
YML011C	YLR429W
YLR399C	YBL003C
YDR515W	YOL139C
YHR052W	YLR131C
YHR027C	YBL021C
YKL114C	YNL189W
YLR085C	YLR187W
YNL005C	YDL014W
YDL125C	YDR388W
YBR010W	YFR037C
YGL087C	YDR087C
YGR162W	YDR150W
YKL160W	YEL026W
YBR087W	YCL016C
YLR438C-A	YDR378C
YJL168C	YHR166C
YGL253W	YMR137C
YJL138C	YPR036W
YIL045W	YHR121W
YOR206W	YDL014W
YOR097C	YLR147C
YFR021W	YHR070W
YDR138W	YOR227W
YLR226W	YCR028C-A
YDR099W	YMR023C
YCL040W	YJL155C
YDR533C	YMR322C
YDR314C	YER122C
YJL128C	YDR381W
YBL022C	YER062C
YAL021C	YBL003C
YDR365C	YER122C
YDR385W	YGR252W
YDL134C	YOR386W
YKL155C	YLR150W
YMR128W	YDL197C
YLR455W	YCR087C-A
YKL212W	YNL037C
YPL022W	YEL034W
YMR304W	YDR457W
YHR013C	YEL026W
YER172C	YDR473C
YDR054C	YIL134W
YFR052W	YAL001C
YDR074W	YBR126C
YMR070W	YLR175W
YIL103W	YER001W
YOL005C	YOR151C
YNL140C	YNL139C
YJL173C	YKL215C
YMR048W	YGL121C
YIL148W	YDL160C
YFL013C	YKL081W
YER091C	YMR054W
YLR203C	YLR043C
YIL078W	YOL024W
YMR014W	YBL003C
YCR071C	YBL038W
YGL213C	YIL033C
YFR031C	YDR470C
YPL074W	YNL209W
YNL126W	YLR418C
YLL060C	YBL075C
YPR103W	YAL053W
YCR079W	YBR139W
YNL313C	YGL094C
YBR009C	YCR028C-A
YLR418C	YAL019W
YDL055C	YCL008C
YLL004W	YLR418C
YER147C	YLR432W
YGL151W	YGR104C
YLR398C	YOL021C
YCR092C	YDR174W
YMR275C	YER125W
YIL148W	YNL102W
YOR386W	YDL053C
YGL061C	YIL070C
YOL059W	YIL148W
YIL150C	YIL036W
YGL070C	YBL082C
YGL058W	YLR024C
YPL009C	YHR089C
YGR090W	YER131W
YJL128C	YDR162C
YJL044C	YKR068C
YKL018W	YAL043C
YDR165W	YER062C
YDL143W	YOL004W
YMR113W	YLR418C
YGR124W	YKL172W
YOR023C	YGL207W
YKL210W	YOR184W
YMR140W	YHR193C
YDL105W	YEL019C
YOR138C	YDR388W
YLR435W	YER030W
YOL108C	YDR123C
YER131W	YCR035C
YNL004W	YNL139C
YKL191W	YOR287C
YPL220W	YDR293C
YHL034C	YDR293C
YBL035C	YPL240C
YLR258W	YGL238W
YDR378C	YPR178W
YHR027C	YOR261C
YPL090C	YOR361C
YGR128C	YOR136W
YJR032W	YIL041W
YDR075W	YBR050C
YIL021W	YBR011C
YBR058C	YIL126W
YIL148W	YDR046C
YOR323C	YPL072W
YER021W	YOR261C
YJR082C	YHR099W
YOL126C	YGR196C
YPR103W	YBL024W
YDR225W	YLR087C
YDL036C	YDL063C
YEL048C	YGL137W
YGL070C	YDR388W
YKR025W	YOR207C
YDR190C	YBL002W
YLR381W	YJR135C
YBL056W	YLR240W
YDR179C	YOL117W
YFL008W	YLR092W
YDL134C	YLR429W
YJL063C	YNL306W
YOL010W	YLR106C
YDR365C	YDL014W
YJR022W	YER112W
YNR003C	YPR110C
YCR060W	YOR310C
YKR048C	YHR064C
YNL102W	YCL018W
YJL044C	YDR087C
YKL122C	YML105C
YGR248W	YOR018W
YNL313C	YFR024C
YNL313C	YIR002C
YER162C	YDR502C
YBR279W	YML112W
YDR099W	YGR225W
YOL013C	YGR240C
YDL234C	YIL078W
YDR005C	YNL151C
YOL148C	YFR024C
YGL207W	YGL055W
YJL128C	YKR048C
YBR198C	YMR236W
YPL001W	YLR109W
YDL002C	YPL235W
YDL060W	YDR381W
YPR161C	YOL006C
YDR167W	YMR227C
YLR231C	YMR083W
YBR025C	YPL225W
YDL019C	YKR081C
YBR065C	YKR048C
YNL073W	YDR087C
YIL103W	YNR051C
YGR021W	YLR269C
YKL216W	YGL173C
YDR054C	YDR400W
YGL122C	YMR290C
YJL062W-A	YBR196C
YOL144W	YLR221C
YLR200W	YML094W
YJL115W	YBR109C
YLR015W	YPL004C
YDL126C	YGR048W
YLR196W	YKL172W
YOL010W	YJR033C
YAR007C	YGR008C
YNL153C	YML094W
YGR250C	YGR281W
YPR161C	YFR001W
YML102W	YLR150W
YIL103W	YCL024W
YDR361C	YBL087C
YKL117W	YMR273C
YCR077C	YJL124C
YER133W	YGR156W
YDR533C	YBR020W
YPL209C	YBR156C
YDL134C	YBR189W
YNR054C	YPL240C
YPL195W	YIL014W
YOL064C	YBR142W
YMR186W	YKL165C
YKL018W	YER133W
YAR044W	YPR080W
YLL022C	YOR294W
YMR237W	YOL051W
YHR027C	YOL022C
YFR030W	YOR361C
YPR164W	YGL253W
YOR001W	YOR341W
YBR218C	YNL079C
YIL021W	YPR187W
YIL161W	YNL023C
YPL004C	YDR381W
